帧号,时间(秒),状态,置信度
320,16.0,open,1.0
321,16.05,open,0.9999
322,16.1,open,0.9996
323,16.15,open,0.9994
324,16.2,open,0.9994
325,16.25,open,0.9971
326,16.3,open,0.9951
327,16.35,open,0.9928
328,16.4,open,0.9922
329,16.45,open,0.9919
330,16.5,open,0.9926
331,16.55,open,0.9928
332,16.6,open,0.9929
333,16.65,open,0.9925
334,16.7,open,0.9771
335,16.75,close,0.9165
336,16.8,open,0.6653
337,16.85,open,0.9998
338,16.9,open,1.0
339,16.95,open,1.0
340,17.0,open,1.0
341,17.05,open,1.0
342,17.1,open,1.0
343,17.15,open,1.0
344,17.2,open,1.0
345,17.25,open,1.0
346,17.3,open,1.0
347,17.35,open,1.0
348,17.4,open,1.0
349,17.45,open,1.0
350,17.5,open,1.0
351,17.55,open,1.0
352,17.6,open,1.0
353,17.65,open,1.0
354,17.7,open,1.0
355,17.75,open,1.0
356,17.8,open,1.0
357,17.85,open,1.0
358,17.9,open,1.0
359,17.95,open,1.0
360,18.0,open,1.0
361,18.05,open,1.0
362,18.1,open,1.0
363,18.15,open,1.0
364,18.2,open,1.0
365,18.25,open,1.0
366,18.3,open,1.0
367,18.35,open,1.0
368,18.4,open,1.0
369,18.45,open,1.0
370,18.5,open,1.0
371,18.55,open,1.0
372,18.6,open,1.0
373,18.65,open,1.0
374,18.7,open,1.0
375,18.75,open,1.0
376,18.8,open,1.0
377,18.85,open,1.0
378,18.9,open,1.0
379,18.95,open,1.0
380,19.0,open,1.0
381,19.05,open,1.0
382,19.1,open,1.0
383,19.15,open,1.0
384,19.2,open,1.0
385,19.25,open,1.0
386,19.3,open,1.0
387,19.35,open,0.9999
388,19.4,open,0.9999
389,19.45,open,1.0
390,19.5,open,1.0
391,19.55,open,1.0
392,19.6,open,1.0
393,19.65,open,1.0
394,19.7,open,1.0
395,19.75,open,1.0
396,19.8,open,1.0
397,19.85,open,1.0
398,19.9,open,1.0
399,19.95,open,1.0
400,20.0,open,1.0
401,20.05,open,1.0
402,20.1,open,1.0
403,20.15,open,1.0
404,20.2,open,1.0
405,20.25,open,1.0
406,20.3,open,1.0
407,20.35,open,1.0
408,20.4,open,1.0
409,20.45,open,1.0
410,20.5,open,1.0
411,20.55,open,0.9998
412,20.6,open,0.9999
413,20.65,open,0.9999
414,20.7,open,0.9999
415,20.75,open,0.9999
416,20.8,open,0.9999
417,20.85,open,0.9999
418,20.9,open,0.9999
419,20.95,open,0.9999
420,21.0,open,0.9999
421,21.05,open,0.9999
422,21.1,open,1.0
423,21.15,open,0.9999
424,21.2,open,0.9999
425,21.25,open,0.9999
426,21.3,open,0.9999
427,21.35,open,0.9999
428,21.4,open,1.0
429,21.45,open,1.0
430,21.5,open,0.9999
431,21.55,open,1.0
432,21.6,open,1.0
433,21.65,open,1.0
434,21.7,open,1.0
435,21.75,open,1.0
436,21.8,open,1.0
437,21.85,open,1.0
438,21.9,open,1.0
439,21.95,open,1.0
440,22.0,open,1.0
441,22.05,open,1.0
442,22.1,open,1.0
443,22.15,open,1.0
444,22.2,open,1.0
445,22.25,open,1.0
446,22.3,open,1.0
447,22.35,open,1.0
448,22.4,open,1.0
449,22.45,open,1.0
450,22.5,open,1.0
451,22.55,open,1.0
452,22.6,open,1.0
453,22.65,open,1.0
454,22.7,open,1.0
455,22.75,open,1.0
456,22.8,open,1.0
457,22.85,open,1.0
458,22.9,open,1.0
459,22.95,open,1.0
460,23.0,open,1.0
461,23.05,open,1.0
462,23.1,open,1.0
463,23.15,open,1.0
464,23.2,open,1.0
465,23.25,open,1.0
466,23.3,open,1.0
467,23.35,open,1.0
468,23.4,open,1.0
469,23.45,open,1.0
470,23.5,open,1.0
471,23.55,open,1.0
472,23.6,open,1.0
473,23.65,open,1.0
474,23.7,open,1.0
475,23.75,open,1.0
476,23.8,open,1.0
477,23.85,open,1.0
478,23.9,open,1.0
479,23.95,open,1.0
480,24.0,open,1.0
481,24.05,open,1.0
482,24.1,open,1.0
483,24.15,open,1.0
484,24.2,open,1.0
485,24.25,open,1.0
486,24.3,open,1.0
487,24.35,open,1.0
488,24.4,open,1.0
489,24.45,open,1.0
490,24.5,open,1.0
491,24.55,open,1.0
492,24.6,open,1.0
493,24.65,open,1.0
494,24.7,open,1.0
495,24.75,open,1.0
496,24.8,open,1.0
497,24.85,open,1.0
498,24.9,open,1.0
499,24.95,open,1.0
500,25.0,open,1.0
501,25.05,open,1.0
502,25.1,open,1.0
503,25.15,open,1.0
504,25.2,open,1.0
505,25.25,open,1.0
506,25.3,open,1.0
507,25.35,open,1.0
508,25.4,open,1.0
509,25.45,open,1.0
510,25.5,open,1.0
511,25.55,open,1.0
512,25.6,open,1.0
513,25.65,open,1.0
514,25.7,open,1.0
515,25.75,open,1.0
516,25.8,open,1.0
517,25.85,open,1.0
518,25.9,open,1.0
519,25.95,open,1.0
520,26.0,open,1.0
521,26.05,open,1.0
522,26.1,open,1.0
523,26.15,open,1.0
524,26.2,open,1.0
525,26.25,open,1.0
526,26.3,open,1.0
527,26.35,open,1.0
528,26.4,open,1.0
529,26.45,open,1.0
530,26.5,open,1.0
531,26.55,open,1.0
532,26.6,open,1.0
533,26.65,open,0.9999
534,26.7,open,0.9999
535,26.75,open,1.0
536,26.8,open,1.0
537,26.85,open,1.0
538,26.9,open,1.0
539,26.95,open,0.9999
540,27.0,open,1.0
541,27.05,open,1.0
542,27.1,open,1.0
543,27.15,open,1.0
544,27.2,open,1.0
545,27.25,open,1.0
546,27.3,open,1.0
547,27.35,open,1.0
548,27.4,open,1.0
549,27.45,open,1.0
550,27.5,open,1.0
551,27.55,open,1.0
552,27.6,open,1.0
553,27.65,open,1.0
554,27.7,open,1.0
555,27.75,open,1.0
556,27.8,open,1.0
557,27.85,open,1.0
558,27.9,open,1.0
559,27.95,open,1.0
560,28.0,open,1.0
561,28.05,open,1.0
562,28.1,open,0.9994
563,28.15,close,0.9919
564,28.2,close,0.9755
565,28.25,open,0.9985
566,28.3,open,0.9999
567,28.35,open,1.0
568,28.4,open,1.0
569,28.45,open,1.0
570,28.5,open,1.0
571,28.55,open,1.0
572,28.6,open,1.0
573,28.65,open,1.0
574,28.7,open,1.0
575,28.75,open,1.0
576,28.8,open,1.0
577,28.85,open,1.0
578,28.9,open,1.0
579,28.95,open,1.0
580,29.0,open,1.0
581,29.05,open,1.0
582,29.1,open,1.0
583,29.15,open,1.0
584,29.2,open,1.0
585,29.25,open,1.0
586,29.3,open,1.0
587,29.35,open,1.0
588,29.4,open,1.0
589,29.45,open,1.0
590,29.5,open,1.0
591,29.55,open,1.0
592,29.6,open,1.0
593,29.65,open,1.0
594,29.7,open,1.0
595,29.75,open,1.0
596,29.8,open,1.0
597,29.85,open,1.0
598,29.9,open,1.0
599,29.95,open,1.0
600,30.0,open,1.0
601,30.05,open,1.0
602,30.1,open,1.0
603,30.15,open,1.0
604,30.2,open,1.0
605,30.25,open,1.0
606,30.3,open,1.0
607,30.35,open,1.0
608,30.4,open,1.0
609,30.45,open,1.0
610,30.5,open,1.0
611,30.55,open,1.0
612,30.6,open,1.0
613,30.65,open,1.0
614,30.7,open,1.0
615,30.75,open,1.0
616,30.8,open,1.0
617,30.85,open,1.0
618,30.9,open,1.0
619,30.95,open,1.0
620,31.0,open,1.0
621,31.05,open,1.0
622,31.1,open,1.0
623,31.15,open,1.0
624,31.2,open,1.0
625,31.25,open,1.0
626,31.3,open,1.0
627,31.35,open,0.9973
628,31.4,close,0.9945
629,31.45,close,0.9948
630,31.5,open,0.7011
631,31.55,open,0.9994
632,31.6,open,0.9999
633,31.65,open,1.0
634,31.7,open,1.0
635,31.75,open,1.0
636,31.8,open,1.0
637,31.85,open,1.0
638,31.9,open,1.0
639,31.95,open,1.0
640,32.0,open,1.0
641,32.05,open,1.0
642,32.1,open,1.0
643,32.15,open,1.0
644,32.2,open,1.0
645,32.25,open,1.0
646,32.3,open,1.0
647,32.35,open,1.0
648,32.4,open,1.0
649,32.45,open,1.0
650,32.5,open,1.0
651,32.55,open,1.0
652,32.6,open,1.0
653,32.65,open,1.0
654,32.7,open,1.0
655,32.75,open,1.0
656,32.8,open,1.0
657,32.85,open,1.0
658,32.9,open,1.0
659,32.95,open,1.0
660,33.0,open,1.0
661,33.05,open,1.0
662,33.1,open,1.0
663,33.15,open,1.0
664,33.2,open,0.9999
665,33.25,open,1.0
666,33.3,open,1.0
667,33.35,open,1.0
668,33.4,open,1.0
669,33.45,open,1.0
670,33.5,open,1.0
671,33.55,open,1.0
672,33.6,open,1.0
673,33.65,open,1.0
674,33.7,open,1.0
675,33.75,open,1.0
676,33.8,open,1.0
677,33.85,open,1.0
678,33.9,open,1.0
679,33.95,open,1.0
680,34.0,open,1.0
681,34.05,open,1.0
682,34.1,open,1.0
683,34.15,open,1.0
684,34.2,open,1.0
685,34.25,open,1.0
686,34.3,open,1.0
687,34.35,open,1.0
688,34.4,open,1.0
689,34.45,open,1.0
690,34.5,open,1.0
691,34.55,open,1.0
692,34.6,open,1.0
693,34.65,open,1.0
694,34.7,open,1.0
695,34.75,open,1.0
696,34.8,open,1.0
697,34.85,open,1.0
698,34.9,open,1.0
699,34.95,open,1.0
700,35.0,open,1.0
701,35.05,open,1.0
702,35.1,open,1.0
703,35.15,open,1.0
704,35.2,open,1.0
705,35.25,open,1.0
706,35.3,open,1.0
707,35.35,open,1.0
708,35.4,open,1.0
709,35.45,open,1.0
710,35.5,open,1.0
711,35.55,open,1.0
712,35.6,open,1.0
713,35.65,open,1.0
714,35.7,open,1.0
715,35.75,open,1.0
716,35.8,open,1.0
717,35.85,open,1.0
718,35.9,open,1.0
719,35.95,open,1.0
720,36.0,open,1.0
721,36.05,open,1.0
722,36.1,open,1.0
723,36.15,open,1.0
724,36.2,open,1.0
725,36.25,open,1.0
726,36.3,open,1.0
727,36.35,open,1.0
728,36.4,open,1.0
729,36.45,open,1.0
730,36.5,open,1.0
731,36.55,open,1.0
732,36.6,open,1.0
733,36.65,close,0.9035
734,36.7,open,0.9862
735,36.75,open,0.9999
736,36.8,open,1.0
737,36.85,open,1.0
738,36.9,open,1.0
739,36.95,open,1.0
740,37.0,open,1.0
741,37.05,open,1.0
742,37.1,open,1.0
743,37.15,open,1.0
744,37.2,open,1.0
745,37.25,open,1.0
746,37.3,open,1.0
747,37.35,open,1.0
748,37.4,open,1.0
749,37.45,open,1.0
750,37.5,open,1.0
751,37.55,open,1.0
752,37.6,open,1.0
753,37.65,open,1.0
754,37.7,open,1.0
755,37.75,open,0.9999
756,37.8,open,1.0
757,37.85,open,1.0
758,37.9,open,1.0
759,37.95,open,1.0
760,38.0,open,1.0
761,38.05,open,1.0
762,38.1,open,1.0
763,38.15,open,1.0
764,38.2,open,1.0
765,38.25,open,0.6694
766,38.3,open,0.8581
767,38.35,open,0.9995
768,38.4,open,1.0
769,38.45,open,1.0
770,38.5,open,1.0
771,38.55,open,1.0
772,38.6,open,1.0
773,38.65,open,1.0
774,38.7,open,1.0
775,38.75,open,1.0
776,38.8,open,1.0
777,38.85,open,1.0
778,38.9,open,1.0
779,38.95,open,1.0
780,39.0,open,1.0
781,39.05,open,1.0
782,39.1,open,1.0
783,39.15,open,1.0
784,39.2,open,1.0
785,39.25,open,1.0
786,39.3,open,1.0
787,39.35,open,1.0
788,39.4,open,1.0
789,39.45,open,1.0
790,39.5,open,1.0
791,39.55,open,1.0
792,39.6,open,1.0
793,39.65,open,1.0
794,39.7,open,0.9999
795,39.75,open,0.9999
796,39.8,open,1.0
797,39.85,open,1.0
798,39.9,open,1.0
799,39.95,open,1.0
800,40.0,open,1.0
801,40.05,open,0.9999
802,40.1,open,0.9999
803,40.15,open,0.9999
804,40.2,open,1.0
805,40.25,open,0.9455
806,40.3,open,0.9944
807,40.35,open,0.9997
808,40.4,open,1.0
809,40.45,open,1.0
810,40.5,open,1.0
811,40.55,open,1.0
812,40.6,open,1.0
813,40.65,open,1.0
814,40.7,open,1.0
815,40.75,open,1.0
816,40.8,open,1.0
817,40.85,open,1.0
818,40.9,open,1.0
819,40.95,open,1.0
820,41.0,open,1.0
821,41.05,open,0.9999
822,41.1,open,1.0
823,41.15,open,1.0
824,41.2,open,1.0
825,41.25,open,1.0
826,41.3,open,1.0
827,41.35,open,0.9999
828,41.4,open,1.0
829,41.45,open,1.0
830,41.5,open,1.0
831,41.55,open,1.0
832,41.6,open,1.0
833,41.65,open,1.0
834,41.7,open,1.0
835,41.75,open,1.0
836,41.8,open,1.0
837,41.85,open,1.0
838,41.9,open,0.9999
839,41.95,open,1.0
840,42.0,open,1.0
841,42.05,open,1.0
842,42.1,open,1.0
843,42.15,open,1.0
844,42.2,open,0.9999
845,42.25,open,0.9999
846,42.3,open,0.9999
847,42.35,open,0.9999
848,42.4,open,0.9999
849,42.45,open,1.0
850,42.5,open,1.0
851,42.55,open,1.0
852,42.6,open,1.0
853,42.65,open,1.0
854,42.7,open,1.0
855,42.75,open,1.0
856,42.8,open,1.0
857,42.85,open,1.0
858,42.9,open,1.0
859,42.95,open,0.9999
860,43.0,open,0.9998
861,43.05,open,0.9999
862,43.1,open,1.0
863,43.15,close,0.9178
864,43.2,close,0.9717
865,43.25,open,0.9996
866,43.3,open,1.0
867,43.35,open,1.0
868,43.4,open,1.0
869,43.45,open,1.0
870,43.5,open,1.0
871,43.55,open,1.0
872,43.6,open,1.0
873,43.65,open,1.0
874,43.7,open,1.0
875,43.75,open,1.0
876,43.8,open,1.0
877,43.85,open,1.0
878,43.9,open,1.0
879,43.95,open,1.0
880,44.0,open,1.0
881,44.05,open,1.0
882,44.1,open,1.0
883,44.15,open,1.0
884,44.2,open,1.0
885,44.25,open,1.0
886,44.3,open,1.0
887,44.35,open,1.0
888,44.4,open,0.9256
889,44.45,close,0.9923
890,44.5,open,0.9957
891,44.55,open,0.9999
892,44.6,open,1.0
893,44.65,open,1.0
894,44.7,open,0.9999
895,44.75,open,1.0
896,44.8,open,1.0
897,44.85,open,1.0
898,44.9,open,1.0
899,44.95,open,0.9999
900,45.0,open,1.0
901,45.05,close,0.7367
902,45.1,close,0.7915
903,45.15,open,0.9989
904,45.2,open,0.9999
905,45.25,open,1.0
906,45.3,open,1.0
907,45.35,open,1.0
908,45.4,open,1.0
909,45.45,open,1.0
910,45.5,open,1.0
911,45.55,open,1.0
912,45.6,open,1.0
913,45.65,open,1.0
914,45.7,open,1.0
915,45.75,open,1.0
916,45.8,open,0.9999
917,45.85,open,0.9999
918,45.9,open,0.9999
919,45.95,open,1.0
920,46.0,open,1.0
921,46.05,open,1.0
922,46.1,open,0.9999
923,46.15,open,0.9999
924,46.2,open,0.9999
925,46.25,open,0.9999
926,46.3,open,0.9999
927,46.35,open,0.9999
928,46.4,open,0.9999
929,46.45,open,0.9999
930,46.5,open,0.9999
931,46.55,open,0.9998
932,46.6,close,0.9872
933,46.65,close,0.6052
934,46.7,open,0.999
935,46.75,open,0.9999
936,46.8,open,1.0
937,46.85,open,1.0
938,46.9,open,1.0
939,46.95,open,1.0
940,47.0,open,1.0
941,47.05,open,1.0
942,47.1,open,1.0
943,47.15,open,1.0
944,47.2,open,1.0
945,47.25,open,1.0
946,47.3,open,1.0
947,47.35,open,1.0
948,47.4,open,1.0
949,47.45,open,1.0
950,47.5,open,1.0
951,47.55,open,1.0
952,47.6,open,1.0
953,47.65,open,0.9999
954,47.7,open,1.0
955,47.75,open,1.0
956,47.8,open,1.0
957,47.85,close,0.9856
958,47.9,close,0.9698
959,47.95,open,0.9979
960,48.0,open,1.0
961,48.05,open,1.0
962,48.1,open,1.0
963,48.15,open,1.0
964,48.2,open,1.0
965,48.25,open,1.0
966,48.3,open,1.0
967,48.35,open,1.0
968,48.4,open,1.0
969,48.45,open,1.0
970,48.5,open,1.0
971,48.55,open,1.0
972,48.6,open,1.0
973,48.65,open,1.0
974,48.7,open,1.0
975,48.75,open,1.0
976,48.8,open,1.0
977,48.85,open,1.0
978,48.9,open,1.0
979,48.95,open,1.0
980,49.0,open,1.0
981,49.05,open,1.0
982,49.1,open,1.0
983,49.15,open,1.0
984,49.2,open,1.0
985,49.25,open,1.0
986,49.3,open,1.0
987,49.35,open,1.0
988,49.4,open,1.0
989,49.45,open,1.0
990,49.5,open,1.0
991,49.55,open,1.0
992,49.6,open,1.0
993,49.65,open,1.0
994,49.7,open,1.0
995,49.75,open,1.0
996,49.8,open,1.0
997,49.85,open,1.0
998,49.9,open,1.0
999,49.95,open,1.0
1000,50.0,open,1.0
1001,50.05,open,1.0
1002,50.1,open,1.0
1003,50.15,open,1.0
1004,50.2,open,1.0
1005,50.25,open,1.0
1006,50.3,open,1.0
1007,50.35,open,1.0
1008,50.4,open,1.0
1009,50.45,open,1.0
1010,50.5,open,1.0
1011,50.55,open,1.0
1012,50.6,open,1.0
1013,50.65,open,1.0
1014,50.7,open,1.0
1015,50.75,open,1.0
1016,50.8,open,1.0
1017,50.85,open,1.0
1018,50.9,open,1.0
1019,50.95,open,1.0
1020,51.0,open,1.0
1021,51.05,open,1.0
1022,51.1,open,1.0
1023,51.15,open,1.0
1024,51.2,open,1.0
1025,51.25,open,1.0
1026,51.3,open,1.0
1027,51.35,open,1.0
1028,51.4,open,1.0
1029,51.45,open,1.0
1030,51.5,open,1.0
1031,51.55,open,1.0
1032,51.6,open,1.0
1033,51.65,open,1.0
1034,51.7,open,1.0
1035,51.75,open,1.0
1036,51.8,open,1.0
1037,51.85,open,1.0
1038,51.9,open,1.0
1039,51.95,open,1.0
1040,52.0,open,1.0
1041,52.05,open,1.0
1042,52.1,open,1.0
1043,52.15,open,1.0
1044,52.2,open,1.0
1045,52.25,open,1.0
1046,52.3,open,1.0
1047,52.35,open,1.0
1048,52.4,open,1.0
1049,52.45,open,1.0
1050,52.5,open,1.0
1051,52.55,open,1.0
1052,52.6,open,1.0
1053,52.65,open,1.0
1054,52.7,open,1.0
1055,52.75,open,1.0
1056,52.8,open,1.0
1057,52.85,open,1.0
1058,52.9,open,1.0
1059,52.95,open,1.0
1060,53.0,open,1.0
1061,53.05,open,1.0
1062,53.1,open,1.0
1063,53.15,open,1.0
1064,53.2,open,1.0
1065,53.25,open,1.0
1066,53.3,open,1.0
1067,53.35,open,1.0
1068,53.4,open,1.0
1069,53.45,open,1.0
1070,53.5,open,1.0
1071,53.55,open,1.0
1072,53.6,open,1.0
1073,53.65,open,1.0
1074,53.7,open,1.0
1075,53.75,open,1.0
1076,53.8,open,1.0
1077,53.85,open,1.0
1078,53.9,open,1.0
1079,53.95,open,1.0
1080,54.0,open,1.0
1081,54.05,open,1.0
1082,54.1,open,1.0
1083,54.15,open,1.0
1084,54.2,open,1.0
1085,54.25,open,1.0
1086,54.3,open,1.0
1087,54.35,open,1.0
1088,54.4,open,1.0
1089,54.45,open,1.0
1090,54.5,open,0.9999
1091,54.55,open,1.0
1092,54.6,open,0.9999
1093,54.65,open,0.9999
1094,54.7,open,1.0
1095,54.75,open,1.0
1096,54.8,open,1.0
1097,54.85,open,1.0
1098,54.9,open,1.0
1099,54.95,open,1.0
1100,55.0,open,1.0
1101,55.05,open,1.0
1102,55.1,open,1.0
1103,55.15,open,1.0
1104,55.2,open,1.0
1105,55.25,open,1.0
1106,55.3,open,1.0
1107,55.35,open,1.0
1108,55.4,open,1.0
1109,55.45,open,1.0
1110,55.5,open,1.0
1111,55.55,open,1.0
1112,55.6,open,1.0
1113,55.65,open,1.0
1114,55.7,open,1.0
1115,55.75,open,1.0
1116,55.8,open,1.0
1117,55.85,open,1.0
1118,55.9,open,1.0
1119,55.95,open,1.0
1120,56.0,open,1.0
1121,56.05,open,1.0
